iter	Logloss
0	0.6010098848
1	0.5262336799
2	0.4699640691
3	0.428518134
4	0.3945873909
5	0.3663075938
6	0.3449127697
7	0.3275673027
8	0.3150253422
9	0.3040654813
10	0.2953810664
11	0.2882707834
12	0.2816077643
13	0.2775366588
14	0.2730365776
15	0.2695838315
16	0.2668877082
17	0.2645445895
18	0.2624080893
19	0.2607564409
20	0.2592631853
21	0.2580961567
22	0.2569608095
23	0.2561135415
24	0.2553065808
25	0.2544173078
26	0.2538353664
27	0.2532381927
28	0.2528035514
29	0.2523826461
30	0.2519142823
31	0.2514919501
32	0.2512044361
33	0.2509163599
34	0.2505850219
35	0.250269533
36	0.2500243128
37	0.2498156161
38	0.249448758
39	0.2491810922
40	0.2490298698
41	0.2487678222
42	0.2485970396
43	0.2483843013
44	0.2482214962
45	0.2480945985
46	0.2479144864
47	0.2477775221
48	0.2476420603
49	0.2475246144
50	0.2474217835
51	0.2472799094
52	0.2471056282
53	0.2469566771
54	0.2468076276
55	0.2466735717
56	0.2465498025
57	0.2464268814
58	0.2462949891
59	0.2461276687
60	0.245986759
61	0.2458515079
62	0.2457525661
63	0.2456622028
64	0.2455531434
65	0.2454859386
66	0.2454127359
67	0.2453284911
68	0.2452120895
69	0.2451139825
70	0.2450203799
71	0.2449708178
72	0.2448886876
73	0.2447829515
74	0.244687363
75	0.2446238605
76	0.2445404797
77	0.2444713557
78	0.2444093014
79	0.2443119553
80	0.2442332305
81	0.2441648943
82	0.2440991915
83	0.244060635
84	0.2440007442
85	0.2439417255
86	0.2438835165
87	0.2438064303
88	0.2437463495
89	0.2436351816
90	0.2435830054
91	0.2435178245
92	0.2434549293
93	0.2433825447
94	0.243268813
95	0.24319516
96	0.243127221
97	0.2430445053
98	0.2429675317
99	0.2429085161
100	0.242876239
101	0.2428277826
102	0.2427534315
103	0.2426726984
104	0.2426153416
105	0.2425493596
106	0.2424852304
107	0.242448809
108	0.2423870829
109	0.2423310481
110	0.242288492
111	0.2422367117
112	0.2421778449
113	0.2421186641
114	0.2420766183
115	0.242001575
116	0.2419462663
117	0.2418944125
118	0.2418399017
119	0.241771472
120	0.2417385823
121	0.2416696155
122	0.241609115
123	0.2415408628
124	0.2415014785
125	0.2414634893
126	0.2414190415
127	0.2413888552
128	0.2413302759
129	0.2412813144
130	0.2412251219
131	0.241172354
132	0.2411251113
133	0.241060277
134	0.2410165418
135	0.2409548279
136	0.2409067763
137	0.2408392278
138	0.2407682857
139	0.2406899321
140	0.2406518742
141	0.2405922516
142	0.2405443137
143	0.2404909063
144	0.2404221603
145	0.2403795973
146	0.2403222382
147	0.2402807952
148	0.2402319202
149	0.2401755056
150	0.2401011473
151	0.2400320662
152	0.239973851
153	0.2399306615
154	0.2398842789
155	0.2398409013
156	0.2398037282
157	0.2397488716
158	0.23970004
159	0.2396183347
160	0.2395604178
161	0.2395065871
162	0.2394339516
163	0.2393925723
164	0.2393493863
165	0.2393001635
166	0.2392409679
167	0.2391920928
168	0.2391462933
169	0.2390898155
170	0.2390326835
171	0.238976655
172	0.2389188794
173	0.2388497901
174	0.238794349
175	0.2387602066
176	0.238695461
177	0.2386651683
178	0.2386405099
179	0.2385985479
180	0.2385523059
181	0.2385019517
182	0.2384668636
183	0.2384149865
184	0.2383640976
185	0.2383288135
186	0.2382786068
187	0.2382202156
188	0.2381646282
189	0.238119884
190	0.2380804564
191	0.2380408334
192	0.2379992087
193	0.2379461777
194	0.237878492
195	0.2378465648
196	0.2377957067
197	0.2377441185
198	0.2376914772
199	0.2376250144
200	0.2375913062
201	0.2375424759
202	0.2374918537
203	0.2374369245
204	0.2373558821
205	0.2372938627
206	0.2372507756
207	0.2372035
208	0.23714839
209	0.2370842843
210	0.2370339293
211	0.237000343
212	0.23696445
213	0.236910973
214	0.2368647064
215	0.236830978
216	0.2367640594
217	0.2367407055
218	0.2366877873
219	0.2366491647
220	0.2366071362
221	0.2365677864
222	0.2365290942
223	0.2364864542
224	0.2364479578
225	0.2363907297
226	0.2363534762
227	0.236297661
228	0.2362727593
229	0.2362427863
230	0.2362083263
231	0.2361761197
232	0.2361431609
233	0.2361117717
234	0.2360678136
235	0.2360257753
236	0.235979588
237	0.2359518332
238	0.235919015
239	0.2358964426
240	0.23585871
241	0.2358228888
242	0.2357712862
243	0.2357308226
244	0.2357072377
245	0.2356749292
246	0.2356472329
247	0.2356030378
248	0.2355689944
249	0.2355045743
250	0.2354563496
251	0.2354163802
252	0.235395584
253	0.2353512608
254	0.2353200498
255	0.2352759316
256	0.2352269318
257	0.2351834618
258	0.2351393184
259	0.2351058929
260	0.2350666068
261	0.2350221309
262	0.2349837445
263	0.2349269492
264	0.2348973846
265	0.2348677264
266	0.2348287495
267	0.2347990671
268	0.234772907
269	0.2347196478
270	0.2346495958
271	0.2346155686
272	0.2345712623
273	0.2345414909
274	0.23450733
275	0.2344690447
276	0.2344209987
277	0.2343692526
278	0.2343286181
279	0.2343051708
280	0.2342788336
281	0.2342554034
282	0.2342247354
283	0.2341871637
284	0.2341551094
285	0.2341358081
286	0.234090977
287	0.2340467001
288	0.2340367183
289	0.233993199
290	0.2339538125
291	0.2339314747
292	0.2339056811
293	0.2338656938
294	0.2338186566
295	0.2337765686
296	0.2337546957
297	0.2337163858
298	0.2336830169
299	0.233653182
300	0.2336162443
301	0.2335742053
302	0.2335375603
303	0.2334966688
304	0.2334601206
305	0.2334438665
306	0.2333869705
307	0.2333480438
308	0.2333111767
309	0.23327333
310	0.2332285408
311	0.2331829379
312	0.233134196
313	0.2331027202
314	0.2330516018
315	0.2330073059
316	0.2329772447
317	0.2329418902
318	0.232899876
319	0.2328543542
320	0.2328258434
321	0.2327902571
322	0.2327614697
323	0.2327234192
324	0.2326952686
325	0.2326796777
326	0.2326428817
327	0.2325975621
328	0.2325599857
329	0.2325343897
330	0.2324796008
331	0.2324340883
332	0.2323907267
333	0.2323627629
334	0.2323427599
335	0.2323079975
336	0.2322930084
337	0.2322353938
338	0.232202417
339	0.2321560837
340	0.2321446912
341	0.2321119305
342	0.2320695933
343	0.2320347926
344	0.2319968967
345	0.231984059
346	0.2319465963
347	0.2318983662
348	0.231851886
349	0.2318116381
350	0.2317802113
351	0.2317548237
352	0.2317251815
353	0.2316767638
354	0.2316445961
355	0.2316156698
356	0.231575265
357	0.2315284912
358	0.2315002394
359	0.2314541453
360	0.2314196495
361	0.2313747449
362	0.2313321891
363	0.2312918463
364	0.2312553617
365	0.2312275106
366	0.2311872341
367	0.231163313
368	0.2311196264
369	0.2310918681
370	0.231042534
371	0.2310041092
372	0.230977336
373	0.2309447026
374	0.2309103044
375	0.2308858514
376	0.2308546593
377	0.2308191439
378	0.2307908757
379	0.2307569953
380	0.2307250471
381	0.2306732919
382	0.2306498949
383	0.2306231573
384	0.2305948503
385	0.2305572562
386	0.230523971
387	0.2304942917
388	0.2304599958
389	0.2304165428
390	0.2303784388
391	0.2303552548
392	0.2303203686
393	0.2302849609
394	0.2302439479
395	0.2302270029
396	0.2302024864
397	0.2301702374
398	0.230133214
399	0.2301070388
400	0.2300701338
401	0.2300300354
402	0.2300045526
403	0.2299662573
404	0.229924934
405	0.2298876372
406	0.2298400077
407	0.2298062983
408	0.2297760432
409	0.2297367401
410	0.2297017376
411	0.2296693405
412	0.2296384323
413	0.2296082384
414	0.2295756718
415	0.2295394002
416	0.2295034161
417	0.2294449167
418	0.2294039426
419	0.2293734575
420	0.2293369046
421	0.2292993824
422	0.229268208
423	0.2292252648
424	0.229188852
425	0.2291853819
426	0.2291512761
427	0.2291168367
428	0.2290805334
429	0.2290423713
430	0.2289991097
431	0.2289674037
432	0.2289456079
433	0.2288995884
434	0.2288739901
435	0.228851303
436	0.2288204005
437	0.2287791832
438	0.2287391492
439	0.2287131376
440	0.2286772394
441	0.2286596541
442	0.2286169185
443	0.2285904988
444	0.2285444469
445	0.2285222068
446	0.2284939185
447	0.2284593855
448	0.228418328
449	0.2283652446
450	0.2283223
451	0.2282932931
452	0.2282526919
453	0.2282206553
454	0.2282025558
455	0.2281685757
456	0.228141343
457	0.2281140655
458	0.2280932693
459	0.2280506247
460	0.228007255
461	0.227969219
462	0.2279378293
463	0.2279104231
464	0.2278855446
465	0.2278567995
466	0.2278266005
467	0.2278060529
468	0.2277761398
469	0.2277426503
470	0.227701301
471	0.227680132
472	0.2276503931
473	0.2276199689
474	0.2275872146
475	0.2275483366
476	0.2275240595
477	0.2274972183
478	0.2274863948
479	0.2274481178
480	0.2274213102
481	0.2273880453
482	0.2273603575
483	0.2273136511
484	0.2272899578
485	0.2272611459
486	0.2272203203
487	0.2271854995
488	0.2271659181
489	0.2271191928
490	0.2270776452
491	0.2270465539
492	0.227022685
493	0.2269718964
494	0.2269386758
495	0.2269046573
496	0.2268752645
497	0.2268515528
498	0.226831183
499	0.2268184335
500	0.2267783942
501	0.2267519976
502	0.2267146666
503	0.2266809895
504	0.2266425182
505	0.2266237308
506	0.2265777629
507	0.2265502414
508	0.2265278457
509	0.2264826458
510	0.2264603505
511	0.2264267567
512	0.2263837709
513	0.2263570593
514	0.2263262953
515	0.2262924476
516	0.2262609654
517	0.2262213559
518	0.2261957915
519	0.2261639516
520	0.2261184344
521	0.2260919711
522	0.2260573415
523	0.2260160701
524	0.2259849932
525	0.2259728005
526	0.2259340671
527	0.2259122182
528	0.225893102
529	0.2258536145
530	0.2258346046
531	0.225814987
532	0.2257744174
533	0.2257439851
534	0.2257370602
535	0.22571109
536	0.2256806016
537	0.2256562859
538	0.2256297751
539	0.225591369
540	0.2255616677
541	0.2255177398
542	0.225479053
543	0.225454788
544	0.2254263987
545	0.2253928708
546	0.2253640545
547	0.2253293984
548	0.2253035416
549	0.2252668807
550	0.2252232529
551	0.2251854631
552	0.2251639635
553	0.2251229962
554	0.2250975838
555	0.2250765443
556	0.2250522772
557	0.2250278608
558	0.2249935789
559	0.2249721268
560	0.2249364129
561	0.22489469
562	0.2248737874
563	0.2248298837
564	0.224800602
565	0.2247682671
566	0.2247465365
567	0.224705234
568	0.2246705891
569	0.2246342888
570	0.2246137855
571	0.2245897471
572	0.224578702
573	0.2245619892
574	0.2245271703
575	0.2245079002
576	0.2244728531
577	0.2244454511
578	0.2244099152
579	0.224376343
580	0.2243356912
581	0.2243069954
582	0.2242753081
583	0.2242335369
584	0.2242100433
585	0.2241707324
586	0.2241388121
587	0.2241151807
588	0.2240919008
589	0.2240606559
590	0.2240332876
591	0.2240107106
592	0.2239771197
593	0.2239423245
594	0.2239133857
595	0.2238833891
596	0.2238592024
597	0.22382585
598	0.2237987557
599	0.2237716735
600	0.223742792
601	0.2237088642
602	0.2236672217
603	0.223639336
604	0.223620866
605	0.2235757925
606	0.2235359837
607	0.2234986878
608	0.2234721018
609	0.2234498739
610	0.2234393916
611	0.2234123792
612	0.2233864185
613	0.2233611687
614	0.2233391736
615	0.2233145255
616	0.2232672253
617	0.2232416095
618	0.2232043651
619	0.2231774093
620	0.2231500681
621	0.2231087682
622	0.2230723895
623	0.2230435152
624	0.2230078557
625	0.2229772281
626	0.2229431822
627	0.2229143629
628	0.2228933756
629	0.2228788397
630	0.2228591611
631	0.2228249501
632	0.222793453
633	0.2227469902
634	0.2227154883
635	0.2226917841
636	0.2226700392
637	0.2226580942
638	0.2226236985
639	0.2226053341
640	0.2225645791
641	0.2225269095
642	0.2224941406
643	0.2224822547
644	0.2224577509
645	0.2224222538
646	0.222394538
647	0.2223680201
648	0.2223327018
649	0.2222858241
650	0.2222494556
651	0.2222050471
652	0.2221966376
653	0.2221551778
654	0.2221283789
655	0.2220914225
656	0.222066193
657	0.2220366037
658	0.2220001275
659	0.2219592383
660	0.2219368177
661	0.2219021411
662	0.22185911
663	0.2218343371
664	0.2218073878
665	0.2217951229
666	0.2217672263
667	0.2217317367
668	0.2216976788
669	0.2216627432
670	0.2216236842
671	0.2215967287
672	0.2215595363
673	0.2215182306
674	0.2214938088
675	0.221472226
676	0.221448704
677	0.221417192
678	0.2213911468
679	0.2213557935
680	0.2213142122
681	0.2212837082
682	0.221248471
683	0.2212090045
684	0.2211778186
685	0.2211477147
686	0.2211236607
687	0.2210968334
688	0.2210703481
689	0.2210299061
690	0.2210035726
691	0.2209692164
692	0.2209398607
693	0.2209179482
694	0.2208765428
695	0.2208433919
696	0.2208133383
697	0.2207934561
698	0.2207718735
699	0.2207419455
700	0.2207152246
701	0.2207009691
702	0.2206770469
703	0.2206542935
704	0.2206248598
705	0.2205877757
706	0.2205503754
707	0.2205188532
708	0.2204852447
709	0.2204623645
710	0.2204102213
711	0.2203757437
712	0.2203580313
713	0.2203260246
714	0.2202987343
715	0.2202695478
716	0.2202403496
717	0.2202034039
718	0.2201806135
719	0.2201463883
720	0.2201130109
721	0.2200818066
722	0.2200480139
723	0.2200219038
724	0.2199959512
725	0.2199724211
726	0.2199336477
727	0.2199132212
728	0.2198746448
729	0.2198408089
730	0.2197957031
731	0.2197837773
732	0.219763787
733	0.2197365858
734	0.2196965646
735	0.2196552527
736	0.2196292234
737	0.2195894016
738	0.2195587194
739	0.2195106053
740	0.2194848298
741	0.2194699038
742	0.2194517643
743	0.2194245291
744	0.2194052755
745	0.2193891424
746	0.2193596824
747	0.2193288617
748	0.2192963111
749	0.2192594413
750	0.2192332634
751	0.2191951525
752	0.2191531855
753	0.2191135014
754	0.2190891505
755	0.2190694053
756	0.2190483205
757	0.2190369185
758	0.2190169463
759	0.2189802415
760	0.2189532854
761	0.2189205263
762	0.2188895116
763	0.2188514613
764	0.2188322472
765	0.2188041274
766	0.218773087
767	0.2187492727
768	0.2187103488
769	0.2186841887
770	0.2186663162
771	0.2186526086
772	0.2186259097
773	0.2185922787
774	0.2185692647
775	0.218547006
776	0.2185261966
777	0.2185035012
778	0.2184811535
779	0.2184561505
780	0.2184372664
781	0.2183956391
782	0.2183651529
783	0.2183426444
784	0.2183184713
785	0.2182979794
786	0.2182854204
787	0.2182510019
788	0.2182295782
789	0.2181902619
790	0.2181548728
791	0.2181370631
792	0.2181237611
793	0.2180959361
794	0.2180677229
795	0.218044088
796	0.2180297185
797	0.217993781
798	0.2179577926
799	0.217918806
800	0.2178924467
801	0.2178713706
802	0.2178429184
803	0.217805102
804	0.217776423
805	0.2177352687
806	0.2177066267
807	0.2176883057
808	0.2176708935
809	0.2176409824
810	0.2176170743
811	0.217581273
812	0.217559884
813	0.2175380104
814	0.2175067513
815	0.2174668516
