iter	Passed	Remaining
0	70	143266
1	121	123227
2	166	112565
3	211	107090
4	259	105052
5	301	101567
6	349	101069
7	394	99595
8	438	98473
9	488	98659
10	535	98245
11	576	97028
12	623	96796
13	666	95938
14	714	95922
15	760	95750
16	808	95734
17	848	94885
18	888	94037
19	925	92981
20	964	92301
21	1003	91613
22	1050	91696
23	1091	91225
24	1133	90879
25	1178	90854
26	1222	90657
27	1260	90150
28	1298	89617
29	1336	89113
30	1375	88725
31	1417	88485
32	1454	88037
33	1493	87673
34	1532	87378
35	1569	86912
36	1606	86542
37	1643	86173
38	1685	86046
39	1728	85993
40	1766	85705
41	1806	85501
42	1847	85365
43	1889	85272
44	1930	85157
45	1983	85562
46	2042	86168
47	2097	86629
48	2139	86499
49	2178	86252
50	2216	86011
51	2257	85869
52	2300	85825
53	2355	86184
54	2413	86675
55	2476	87284
56	2538	87854
57	2586	87929
58	2633	87977
59	2691	88383
60	2750	88774
61	2792	88649
62	2832	88430
63	2870	88178
64	2911	88006
65	2952	87867
66	2991	87642
67	3031	87469
68	3072	87318
69	3109	87062
70	3147	86842
71	3183	86582
72	3221	86357
73	3256	86087
74	3296	85921
75	3330	85622
76	3369	85474
77	3407	85266
78	3444	85069
79	3485	84966
80	3523	84789
81	3559	84559
82	3601	84479
83	3637	84268
84	3677	84153
85	3717	84043
86	3756	83897
87	3796	83783
88	3833	83615
89	3872	83468
90	3912	83367
91	3952	83256
92	3993	83185
93	4040	83220
94	4092	83366
95	4145	83521
96	4199	83679
97	4249	83766
98	4294	83761
99	4351	83989
100	4403	84096
101	4453	84186
102	4508	84340
103	4558	84423
104	4598	84298
105	4637	84171
106	4674	84005
107	4710	83824
108	4751	83740
109	4789	83602
110	4837	83639
111	4891	83765
112	4949	83963
113	5008	84175
114	5060	84274
115	5116	84420
116	5165	84461
117	5219	84566
118	5272	84668
119	5325	84760
120	5372	84758
121	5419	84758
122	5477	84923
123	5533	85059
124	5577	84996
125	5613	84832
126	5653	84712
127	5686	84500
128	5726	84381
129	5763	84231
130	5804	84145
131	5843	84028
132	5879	83863
133	5920	83764
134	5956	83615
135	5992	83460
136	6030	83327
137	6069	83219
138	6108	83098
139	6152	83062
140	6189	82926
141	6227	82795
142	6264	82670
143	6302	82540
144	6351	82571
145	6407	82680
146	6451	82643
147	6487	82499
148	6525	82377
149	6565	82284
150	6606	82204
151	6640	82049
152	6677	81921
153	6716	81813
154	6765	81846
155	6804	81746
156	6862	81870
157	6927	82072
158	6973	82056
159	7032	82193
160	7088	82285
161	7141	82343
162	7204	82522
163	7259	82595
164	7318	82724
165	7371	82771
166	7428	82874
167	7482	82929
168	7543	83069
169	7580	82940
170	7624	82885
171	7669	82851
172	7713	82801
173	7757	82745
174	7802	82705
175	7848	82672
176	7899	82703
177	7948	82705
178	7996	82692
179	8046	82703
180	8100	82750
181	8153	82793
182	8203	82801
183	8248	82751
184	8310	82885
185	8370	82984
186	8438	83167
187	8498	83266
188	8556	83349
189	8609	83375
190	8665	83436
191	8713	83415
192	8753	83317
193	8809	83373
194	8860	83383
195	8909	83362
196	8957	83344
197	9002	83300
198	9059	83353
199	9115	83409
200	9167	83417
201	9216	83402
202	9266	83399
203	9319	83419
204	9376	83473
205	9443	83618
206	9498	83647
207	9551	83670
208	9609	83729
209	9665	83765
210	9716	83765
211	9758	83685
212	9797	83579
213	9841	83513
214	9881	83420
215	9921	83318
216	9963	83245
217	10003	83146
218	10049	83099
219	10099	83088
220	10144	83036
221	10190	82992
222	10237	82957
223	10289	82960
224	10347	83011
225	10405	83056
226	10458	83072
227	10525	83185
228	10580	83209
229	10619	83109
230	10657	82999
231	10696	82899
232	10736	82804
233	10772	82680
234	10815	82610
235	10853	82507
236	10891	82395
237	10925	82265
238	10961	82145
239	10995	82005
240	11034	81910
241	11070	81792
242	11112	81722
243	11151	81625
244	11183	81478
245	11221	81378
246	11257	81266
247	11295	81162
248	11330	81043
249	11376	80998
250	11415	80911
251	11456	80830
252	11493	80726
253	11535	80660
254	11574	80564
255	11611	80466
256	11649	80368
257	11687	80271
258	11725	80179
259	11761	80068
260	11796	79953
261	11833	79855
262	11870	79752
263	11911	79677
264	11945	79560
265	11982	79462
266	12019	79365
267	12056	79264
268	12089	79142
269	12126	79049
270	12166	78972
271	12204	78879
272	12244	78804
